Product,Initial Demand
Milk,22750
Ice Cream,6500
Yoghurt,7583
Choice Beef,9100
Prime Beef,455
Frozen Poultry,8531
Fresh Poultry,68250
Frozen Pork,22750
Fresh Pork,4095
Muesli,22750
Tropical Fruits,95550
Vegetable Greens,106470
Alliums,36400
Rice,1517
Flour,1820
Spices,5056
Canned Food,45500
Snacks & Chips,26000
Fresh Seafood,18200
Frozen Seafood,14000
Wines,3900
Spirits,1092
Beers,7077.777778
Soda Drinks,31850
Sweets,27300
Chocolates,20475
Baked Foods,25025
Frozen Microwave Foods,16380
Instant Noodles,5687.5
Pastas,13000
